Date,Close,High,Low,Open,Volume
2010-01-04,6.40648078918457,6.421149084710953,6.357686124578495,6.389118243518041,493729600
2010-01-05,6.417558193206787,6.453780096056392,6.383730780078478,6.424144139063494,601904800
2010-01-06,6.315478801727295,6.443003872134875,6.308892855483477,6.417558570419472,552160000
2010-01-07,6.3038010597229,6.3463099342219484,6.258000012642371,6.33882590707757,477131200
2010-01-08,6.345710277557373,6.346309399359452,6.258299645645094,6.295418818428744,447610800
2010-01-11,6.289731502532959,6.376244447435682,6.240038367859953,6.370257226467616,462229600
2010-01-12,6.218184947967529,6.279553162902965,6.179269211114541,6.2621898225915205,594459600
2010-01-13,6.3058953285217285,6.314277437250171,6.109819052333629,6.222675761055933,605892000
2010-01-14,6.269375801086426,6.300209593570668,6.257102396119142,6.289732355137283,432894000
2010-01-15,6.164600849151611,6.334334962799101,6.162804682900012,6.314277772989572,594067600
2010-01-19,6.437314033508301,6.441804450302262,6.203818355438351,6.236447518431264,730007600
2010-01-20,6.338228225708008,6.45258097459288,6.271471895870718,6.433422262846363,612152800
2010-01-21,6.228663921356201,6.3855259554048365,6.202919663640564,6.34870573560425,608154400
2010-01-22,5.919729709625244,6.211599960380588,5.902068205731239,6.1900467625488185,881767600
2010-01-25,6.0789875984191895,6.127781865654958,5.992773588257038,6.062223774212136,1065699600
2010-01-26,6.1649017333984375,6.397500124597752,6.06431879654292,6.165201094514336,1867110000
2010-01-27,6.222977638244629,6.3038027550547255,5.973016260251572,6.192143837798432,1722568400
2010-01-28,5.965832233428955,6.151731528405369,5.948170723265507,6.134668740598726,1173502400
2010-01-29,5.749398708343506,6.052944117569523,5.695215539646516,6.019416468385246,1245952400
2010-02-01,5.829323768615723,5.867341819573789,5.726645334734895,5.758676165170134,749876400
2010-02-02,5.863152027130127,5.8769226372964685,5.788912475073255,5.864649232264019,698342400
2010-02-03,5.964034080505371,5.9930717054605545,5.820044599087386,5.842496280310649,615328000
2010-02-04,5.749098300933838,5.938289702546928,5.734728969456485,5.889195286027982,757652000
2010-02-05,5.851179599761963,5.867345104223348,5.713177286902064,5.766462780023556,850306800
2010-02-08,5.811066627502441,5.923624042686643,5.807474293036336,5.858065537404952,478270800
2010-02-09,5.873031139373779,5.912246244506132,5.829923940252894,5.879916045005989,632886800
2010-02-10,5.841001510620117,5.885306566031385,5.815257248239529,5.8640515223531935,370361600
2010-02-11,5.947270393371582,5.97960099091897,5.809268130428122,5.833815339753855,550345600
2010-02-12,5.998459815979004,6.036178510090743,5.852374816481093,5.930506054557419,655468800
2010-02-16,6.088865756988525,6.097546829310123,6.0325870685662455,6.045159835233856,543737600
2010-02-17,6.063421249389648,6.116107208249717,6.012829619344833,6.112514874778056,436396800
