model,accuracy,f1,auc
SVM,0.5305867665418227,0.5648148148148148,0.5175736458663288
Random Forest,0.5268414481897628,0.6080661840744571,0.5136775419702249
Random Forest (tuned),0.5205992509363296,0.5428571428571428,0.522952169781438
Voting Ensemble,0.5106117353308365,0.5409836065573771,0.5062020905923346
SVM (tuned),0.4968789013732834,0.48133848133848134,0.5112511878365537
Logistic Regression (tuned),0.4968789013732834,0.5744456177402323,0.4777066835603422
LightGBM (tuned),0.49563046192259674,0.4584450402144772,0.5145834653151726
Logistic Regression,0.49563046192259674,0.5702127659574469,0.4779094076655052
LightGBM,0.46691635455680397,0.3460949464012251,0.5367880899588215
